timestamp,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,rotation_rate_x,rotation_rate_y,rotation_rate_z,user_acceleration_x,user_acceleration_y,user_acceleration_z
2025-09-16T01:56:32Z,-0.19421785933750046,0.3032958652129233,-0.1318546641183079,-0.18419018387794495,-0.298667311668396,-0.936414361000061,0.14371485077342053,-0.10554081036381466,-0.07943182177111237,0.9807638423997799,-0.051572829484939575,-0.19137154519557953,0.3962986469268799,-0.02322976291179657,0.05486288666725159,0.04510003328323364
2025-09-16T01:56:32Z,-0.20219877924329446,0.3001315973368696,-0.12271223474833934,-0.19184651970863342,-0.29564598202705383,-0.9358356595039368,0.1423408502080567,-0.10872554886997762,-0.07537946767594299,0.9809361663868925,-0.0988987609744072,-0.3577043414115906,0.5269794464111328,-0.0334191769361496,0.06228475272655487,0.09107410907745361
2025-09-16T01:56:32Z,-0.21501299020197845,0.2950881093222678,-0.11108819840496117,-0.20413798093795776,-0.29082420468330383,-0.9347454309463501,0.14004311680151604,-0.1140842380858711,-0.07034505374513952,0.9810322518509961,-0.16827081143856049,-0.5986714959144592,0.6636715531349182,-0.03951457142829895,0.06658457219600677,0.10907196998596191
2025-09-16T01:56:32Z,-0.23372485494921522,0.28758250277687414,-0.0967771073963038,-0.22209134697914124,-0.28363490104675293,-0.9328594207763672,0.13657076695773296,-0.1221421689284905,-0.06423228473308663,0.980970908646727,-0.2599855959415436,-0.8456813097000122,0.8364899754524231,-0.029251694679260254,0.061897680163383484,0.09137934446334839
2025-09-16T01:56:32Z,-0.2573070532662688,0.27734147448606944,-0.0799070631393445,-0.24475280940532684,-0.27379974722862244,-0.930123507976532,0.13189953121211026,-0.1324414676067196,-0.056952726285398346,0.9807232705056981,-0.34306052327156067,-1.0252690315246582,0.9792492389678955,-0.0012734830379486084,0.036572158336639404,0.061783790588378906
2025-09-16T01:56:32Z,-0.2838611209233076,0.26469025856893347,-0.06140239450459452,-0.27031072974205017,-0.26161038875579834,-0.9265484809875488,0.12626652121142368,-0.14416139678137715,-0.04877940360227752,0.9802523668517944,-0.3993326723575592,-1.1372289657592773,1.0733007192611694,0.027448028326034546,0.01738947629928589,0.05661219358444214
2025-09-16T01:56:32Z,-0.31317031409613366,0.24986068643974763,-0.041487061045921945,-0.2985095977783203,-0.24726901948451996,-0.9218188524246216,0.11984523842782893,-0.15725034443191557,-0.03975617696769532,0.9794533026588327,-0.4523163437843323,-1.2817147970199585,1.2074949741363525,0.04589951038360596,0.020473569631576538,0.05916643142700195
2025-09-16T01:56:32Z,-0.3451686287127558,0.23279291580290076,-0.019786709641085778,-0.32922855019569397,-0.23069603741168976,-0.9156352281570435,0.11271550669113119,-0.17169037185514058,-0.029622824789555028,0.9782331551927841,-0.48016536235809326,-1.3874084949493408,1.3126087188720703,0.07091540098190308,-0.029014617204666138,0.03408157825469971
2025-09-16T01:56:32Z,-0.37800481287562826,0.21449358667283572,0.001624835424144199,-0.3606095016002655,-0.21285268664360046,-0.9081048965454102,0.10528687212303586,-0.18671424132571768,-0.019317462196543424,0.9765650377645958,-0.4909595251083374,-1.3990685939788818,1.2728432416915894,0.07884606719017029,-0.0725565254688263,-0.011970579624176025
2025-09-16T01:56:32Z,-0.408278838093507,0.19617952625180546,0.019573411241884307,-0.38941460847854614,-0.19492360949516296,-0.9002005457878113,0.0978688947354598,-0.20080185272716797,-0.010315103424442093,0.9746763164176756,-0.523148775100708,-1.3539913892745972,1.1666346788406372,0.05989730358123779,-0.067425936460495,-0.017169713973999023
2025-09-16T01:56:32Z,-0.4381081416293474,0.17734576616876424,0.036887821020301505,-0.4175732731819153,-0.17641763389110565,-0.8913525938987732,0.09041782532445805,-0.21482159598113515,-0.0013092524224787073,0.9724580448021417,-0.5553380250930786,-1.3089141845703125,1.060426115989685,0.040302008390426636,-0.0628722608089447,-0.02331256866455078
2025-09-16T01:56:32Z,-0.46591258454894774,0.15846596072788663,0.05022016158856352,-0.4436096251010895,-0.15780360996723175,-0.8822179436683655,0.08276583249282221,-0.2281245856266951,0.006086167743081058,0.9700886131241934,-0.5919749140739441,-1.2354810237884521,0.896609902381897,0.03160575032234192,-0.07249388098716736,-0.046619534492492676
2025-09-16T01:56:32Z,-0.49071760587421087,0.14056223535896095,0.059080012847989104,-0.4666111469268799,-0.14009986817836761,-0.8732960820198059,0.07524702856776411,-0.24018705688837635,0.011530290924267605,0.9677370858490006,-0.5972268581390381,-1.0867747068405151,0.6734266877174377,0.022040098905563354,-0.08819776773452759,-0.08015018701553345
2025-09-16T01:56:32Z,-0.5111611728965735,0.12516286566455959,0.06325260041924351,-0.48536360263824463,-0.12483635544776917,-0.8653542995452881,0.06845718124702274,-0.25027275691281925,0.014731178318097598,0.9656397581348533,-0.5560944676399231,-0.8980076313018799,0.4211502969264984,-0.0034856200218200684,-0.0810902789235115,-0.09470456838607788
2025-09-16T01:56:32Z,-0.5272681366219388,0.1130526093381642,0.06345491834769201,-0.49996235966682434,-0.11281197518110275,-0.8586682081222534,0.06277006803023959,-0.25831336115686065,0.015862219662891353,0.9638892760643364,-0.483581006526947,-0.6995006203651428,0.1992938369512558,-0.02934432029724121,-0.0543399378657341,-0.10586804151535034
2025-09-16T01:56:32Z,-0.5389311615424046,0.10438962109801561,0.060899336818924364,-0.5104252099990845,-0.10420016199350357,-0.8535856604576111,0.058359029473367706,-0.26419953027577553,0.015423975070896347,0.9625772311137479,-0.38847097754478455,-0.4842454791069031,0.026470676064491272,-0.045381367206573486,-0.03244367986917496,-0.11327594518661499
2025-09-16T01:56:32Z,-0.5458327062183046,0.0993050343187549,0.056552821998558,-0.5165724158287048,-0.099141925573349,-0.8504844307899475,0.055387318842288605,-0.2677498959801391,0.013820144490697236,0.961795818726055,-0.27147936820983887,-0.2533075213432312,-0.12979601323604584,-0.0512617826461792,-0.024249285459518433,-0.11444288492202759
2025-09-16T01:56:32Z,-0.5480052635924326,0.09776806362947954,0.05088635040971821,-0.5184977054595947,-0.0976124107837677,-0.8494892120361328,0.053902099750107804,-0.2689794434300206,0.011244299152721715,0.9615706529028561,-0.15482208132743835,-0.0247623473405838,-0.2642827332019806,-0.053763508796691895,-0.009804248809814453,-0.09817111492156982
